iteration,timestamp,split,return_pct,sharpe,max_drawdown,win_rate_pct,volatility,num_trades,final_value,notes
1,2026-03-23 19:59:42,dev,84.677,0.5302,-13.746,24.587,6.853,8972,184676.57,v2_LM_ATRsizing_RSI35_vol2.5x_maxpos25_s1exit4wk
1,2026-03-23 20:04:49,val,42.072,0.651,-18.111,35.503,8.208,3805,142072.09,v2_LM_ATRsizing_RSI35_vol2.5x_maxpos25_s1exit4wk
2,2026-03-23 20:16:26,dev,35.454,0.3973,-13.071,28.183,4.483,4721,135453.89,v3_RSI_crossover_cooldown3wk_volveto1.2x_minprice2
3,2026-03-23 20:27:25,val,148.884,1.1434,-11.118,33.774,11.993,7891,248883.9,v4_inline_LM_custom_vocab_v11.3_logic
4,2026-03-23 20:29:38,dev,186.875,0.5672,-26.44,23.11,11.417,18131,286875.05,v5_3tier_sizing_stricter_s2_tighter_downtrend_stop
4,2026-03-23 20:29:55,val,127.385,1.204,-9.431,33.547,10.149,8117,227384.71,v5_3tier_sizing_stricter_s2_tighter_downtrend_stop
5,2026-03-23 20:34:41,dev,186.875,0.5672,-26.44,23.11,11.417,18131,286875.05,v6_ep_pol_quality_gate
5,2026-03-23 20:34:59,val,127.385,1.204,-9.431,33.547,10.149,8117,227384.71,v6_ep_pol_quality_gate
6,2026-03-23 20:37:52,val,56.46,0.8794,-5.256,21.507,7.569,2555,156459.9,v7_downtrend_veto_rsi35_epol05
7,2026-03-23 20:42:51,dev,201.464,0.5869,-26.44,23.007,11.524,18298,301463.57,v8_epol025_vol_confirm
7,2026-03-23 20:43:08,val,133.287,1.1395,-14.372,33.544,11.138,8244,233286.96,v8_epol025_vol_confirm
8,2026-03-23 20:45:34,dev,188.837,0.514,-26.44,22.481,13.067,19127,288836.67,v9_epol025_s1atr1.5
8,2026-03-23 20:45:50,val,167.532,1.0905,-19.589,33.545,13.731,8530,267532.44,v9_epol025_s1atr1.5
9,2026-03-23 20:49:31,dev,9.139,0.0989,-32.31,17.652,10.024,5248,109139.16,v10_rsi_confirmation_recovery45
9,2026-03-23 20:49:48,val,94.994,0.8457,-18.569,22.182,12.123,2792,194993.53,v10_rsi_confirmation_recovery45
10,2026-03-23 20:54:13,dev,56.113,0.3547,-27.579,18.781,7.828,4401,156112.81,v11_momentum_filter_ma50_return63d
10,2026-03-23 20:54:29,val,111.8,1.0844,-13.014,21.908,10.364,2481,211800.07,v11_momentum_filter_ma50_return63d
11,2026-03-23 20:57:32,dev,142.676,0.6111,-26.209,25.053,8.663,15169,242676.09,v12_market_breadth_bear_filter
11,2026-03-23 20:57:50,val,63.265,0.7325,-13.866,35.517,10.249,6553,163264.61,v12_market_breadth_bear_filter
12,2026-03-23 20:59:20,dev,139.182,0.5746,-25.938,24.809,9.148,15995,239181.72,v13_breadth0.30_less_restrictive
12,2026-03-23 20:59:37,val,83.962,0.8785,-9.645,34.355,10.509,7263,183961.62,v13_breadth0.30_less_restrictive
